sn,resp_id,site,fokontany,main_house_rm,house_qlty,tlu,food_sec,type_light,light_sufficiency,mplayer_num,irrigated_rice,education
179,AMP179,Ampahitra,Ampahitra,1,1,0.1,2,1,1,0,0,0
180,AMP180,Ampahitra,Ampahitra,1,1,0,1,1,0,0,0,0
181,AMP181,Ampahitra,Ampahitra,1,1,0.04,3,0,0,0,0,0
184,AMP184,Ampahitra,Ampahitra,1,1,0.22,6,1,0,0,0,0
185,AMP185,Ampahitra,Ampahitra,1,1,0.06,3,1,2,0,0,0
186,AMP186,Ampahitra,Ampahitra,1,1,0.02,3,1,2,0,0,0
187,AMP187,Ampahitra,Ampahitra,1,1,0.2,3,1,2,0,0,0
188,AMP188,Ampahitra,Ampahitra,1,1,0.03,1,1,0,1,1,0
189,AMP189,Ampahitra,Ampahitra,1,1,0.04,8,1,0,0,1,0
192,AMP192,Ampahitra,Ampahitra,1,1,1.5,5,1,0,1,0,0
196,AMP196,Ampahitra,Ampahitra,1,1,2.27,5,0,0,0,1,0
197,AMP197,Ampahitra,Ampahitra,1,1,2.68,7,1,0,0,0,0
198,AMP198,Ampahitra,Ampahitra,1,1,8.02,8,2,2,1,0,0
199,AMP199,Ampahitra,Ampahitra,1,1,0.84,2,1,0,0,1,0
200,AMP200,Ampahitra,Ampahitra,1,1,0.06,6,1,0,0,1,0
201,AMP201,Ampahitra,Ampahitra,1,1,3.06,9,1,2,0,0,0
202,AMP202,Ampahitra,Ampahitra,1,1,4.37,6,1,0,0,0,0
203,AMP203,Ampahitra,Ampahitra,1,1,5.18,8,1,1,1,0,0
295,ANT004,Zahamena,Antevibe,1,1,0,7,1,0,0,0,0
296,ANT005,Zahamena,Antevibe,1,1,0,6,1,0,0,0,0
297,ANT006,Zahamena,Antevibe,1,1,0.01,5,0,0,0,0,0
298,ANT007,Zahamena,Antevibe,1,1,0.03,5,1,0,0,0,0
300,ANT009,Zahamena,Antevibe,1,1,0.01,6,1,0,0,0,0
301,ANT010,Zahamena,Antevibe,1,1,0.02,6,1,0,0,0,0
303,ANT012,Zahamena,Antevibe,1,1,0.06,9,1,2,0,0,0
313,ANT022,Zahamena,Antevibe,1,1,0.26,11,1,0,0,0,0
315,ANT024,Zahamena,Antevibe,1,1,0,3,1,0,0,0,0
316,ANT025,Zahamena,Antevibe,1,1,0.01,2,1,0,0,0,0
317,ANT026,Zahamena,Antevibe,1,1,0.01,6,1,0,0,0,0
318,ANT027,Zahamena,Antevibe,1,1,0.01,2,1,2,0,0,0
319,ANT028,Zahamena,Antevibe,1,1,1.4,7,1,0,0,0,0
320,ANT029,Zahamena,Antevibe,1,1,2.53,8,1,0,0,0,0
322,ANT031,Zahamena,Antevibe,1,1,0.02,6,1,2,1,0,0
323,ANT032,Zahamena,Antevibe,1,1,0,2,1,0,0,0,0
324,ANT033,Zahamena,Antevibe,1,1,0,2,1,0,0,0,0
326,ANT035,Zahamena,Antevibe,1,1,0.08,6,1,0,0,0,0
328,ANT037,Zahamena,Antevibe,1,1,0.04,9,1,2,0,0,0
330,ANT039,Zahamena,Antevibe,1,1,0.06,10,1,2,0,0,0
331,ANT040,Zahamena,Antevibe,1,1,0.02,7,1,2,0,0,0
332,ANT041,Zahamena,Antevibe,1,1,0.01,8,1,2,1,0,0
334,ANT043,Zahamena,Antevibe,1,1,0.01,7,1,2,0,0,0
336,ANT045,Zahamena,Antevibe,1,1,0,7,1,1,0,0,0
337,ANT046,Zahamena,Antevibe,1,1,0.71,9,1,2,0,0,0
343,ANT052,Zahamena,Antevibe,1,1,0.03,7,2,0,1,0,0
346,ANT055,Zahamena,Antevibe,1,1,0.02,7,2,0,0,0,0
348,ANT057,Zahamena,Antevibe,1,1,0.03,4,2,1,0,0,0
350,ANT059,Zahamena,Antevibe,1,1,0,3,1,0,0,0,0
357,SAH002,Sahavazina,Sahavazina,1,1,0.04,4,1,0,0,1,0
360,SAH005,Sahavazina,Sahavazina,1,1,0,12,1,0,0,0,0
361,SAH006,Sahavazina,Sahavazina,1,1,0.01,4,1,2,1,0,0
362,SAH007,Sahavazina,Sahavazina,1,1,0.03,9,1,2,0,1,0
364,SAH009,Sahavazina,Sahavazina,1,1,0.05,4,1,1,1,1,0
365,SAH010,Sahavazina,Sahavazina,1,1,1.41,6,1,1,0,0,0
366,SAH011,Sahavazina,Sahavazina,1,1,0.02,7,1,0,0,0,0
367,SAH012,Sahavazina,Sahavazina,1,1,0.01,3,1,0,0,0,0
368,SAH013,Sahavazina,Sahavazina,1,1,0.03,10,1,0,0,1,0
371,SAH016,Sahavazina,Sahavazina,1,1,1.44,9,1,2,1,1,0
